,train_set,valid_set,test_set
-RRB-,55,53,18
VBD,1548,861,634
VBZ,1133,712,280
JJ,2992,1924,918
WDT,204,157,84
RBR,86,35,15
``,409,230,73
VBN,1031,737,366
UH,1,2,0
RP,140,43,33
RBS,19,13,3
JJR,157,165,59
#,1,15,0
SYM,1,0,0
WP,141,80,20
VB,1195,956,403
FW,2,2,0
NNPS,95,105,44
PRP,954,570,192
DT,4076,2754,1335
'',399,225,70
.,1959,1277,638
CC,1141,758,366
NN,6270,4513,2383
NNP,5202,2704,1504
PRP$,409,258,99
CD,1439,1249,858
JJS,93,58,31
VBP,727,460,134
RB,1490,951,381
PDT,9,14,4
<PAD>,0,0,0
POS,403,269,152
:,293,214,56
$,342,173,209
",",2571,1528,787
MD,413,347,167
EX,49,34,5
VBG,763,476,221
NNS,3004,2102,941
WRB,92,62,24
TO,1028,765,386
WP$,6,4,4
-LRB-,52,50,18
IN,4952,3275,1630
LS,10,3,0
